Nazwa,Telefon,Adres,"Godziny otwarcia","Strona internetowa","Opinia 1","Opinia 2","Opinia 3","Opinia 4","Opinia 5","Opinia 6",Typ,"Wysokość cen",Latitude,Longitude
"FOXA Biżuteria Zielona Góra","726 631 159","Jana Sobieskiego 18, 65-001 Zielona Góra, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",https://foxa24.pl/,"Szeroki wybór + miła obsługa = udane zakupy :) Za każdym razem, gdy wychodzę ze sklepu Foxa jestem bardzo zadowolona, miła właścicielka zawsze dobrze doradzi, dodatkowo z biżuterią nic się nie dzieje, nawet w kontakcie z wodą. Zostawiam zasłużoną 5!","Gorąco polecam! Piękna biżuteria, wykonana z najdrobniejszymi szczegółami, wspaniałe wzory.  Z biżuterią nic się nie dzieje podczas kąpieli, również w wodzie morskiej i basenie. Do tego duży wybór i super obsługa :)","Bardzo polecam, kupuje z mamą biżuterię i jesteśmy bardzo zadowolone. Produkty wysokiej jakości spełniają nasze oczekiwania. Bardzo miła obsługa i atmosfera podczas zakupów. Na pewno wrócimy jeszcze nie raz ☺️","Przepiękna, wysokiej jakości biżuteria, porządna firma, godna polecenia, duży asortyment i bardzo zadowalające ceny. Sympatyczna i profesjonalna obsługa, szybka wysyłka, a towar pięknie i elegancko zapakowany. Polecam biżuterię zarówno dla siebie jak i na prezent.","Biżuteria jest piękna. Sklep bogato zaopatrzony. Obsługa profesjonalna. Jestem mega zadowolona z zakupów w tym sklepiku 😊",,"jewelry_store, point_of_interest, store, establishment",,51.937709,15.503879
"Gold Propst. Sklep jubilerski","68 320 29 06","Artura Grottgera 15, 65-415 Zielona Góra, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",https://www.cylex-polska.pl/firmy/gold-propst--sklep-jubilerski-10531027.html,"Dziękuję za uratowanie mojego palca dziś rano ;) Palec mi spuchł, obrączka nie chciała zejść i się spaskudziło. Poszedłem do pracowni jubilerskiej, gdzie na miejscu problem został rozwiązany. Polecam!","Przemiła obsługa. Piękne złote cacka. Ceny umiarkowane. Polecam wielbicielom złotej biżuterii🤩","Duży wybór biżuterii, przemiła obsługa znająca się na rzeczy, polecam",polecam,,,"jewelry_store, store, point_of_interest, establishment",,51.9363716,15.5053309
"Galeria Srebra Hilenbrand","690 892 671","Kupiecka 15, 65-426 Zielona Góra, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://galeriasrebra.pl/,"Bardzo dobrej jakości biżuteria. Duży wybór nawet najbardziej wymagający klient znajdzie coś dla siebie. I przede wszystkim obsługa. Na wysokim poziomie. Uśmiechnięci i przystojni dwaj mężczyźni. Polecam z czystym sumieniem 😊","Mega profesjonalna obsługa.  Bardzo piękna biżuteria. Polecam serdecznie","Przepiękna wyszukana biżuteria i fantastyczna obsługa, każdy znajdzie coś dla siebie!",,,,"jewelry_store, store, point_of_interest, establishment",,51.9394718,15.5083675
"Usługi jubilerskie Andrzej Wittoń, obrączki i biżuteria.","790 750 375","al. Wojska Polskiego 2, 65-077 Zielona Góra, Polska","poniedziałek: 10:00–17:00, wtorek: 10:00–17:00, środa: 10:00–17:00, czwartek: 10:00–17:00, piątek: 10:00–17:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://www.witton.pl/,"Z całego serce POLECAM ♥️ Wybór biżuterii złotej przeogromny, ceny przystępne. Pani która tam pracuje jest przesympatyczna, potrafi świetnie doradzić,trafiając w gusta klienta. Dzięki Pani to miejsce ma """"to coś"""" 😉Jeszcze raz bardzo ale to bardzo dziękuję za profesjonalną obsługę i pomoc w doborze mojego wymarzonego łańcuszka i serduszka z efektem wow 😁😁😁😁 Pozdrawiam Serdecznie i zapewne wrócę po kolczyki 😉 wszystkich ostrzegam to miejsce uzależnia, nigdzie nie ma tak przeogromnego wyboru praktycznie wszystkiego co związane z biżuterią 👍","Kupowaliśmy w tym miejscu z mężem nasze obrączki ślubne wykonane częściowo z przetopionego własnego złota. Przygotowana wycena naszego złota, omówiony projekt obrączek i przygotowany kosztorys - pełen profesjonalizm, sympatyczna obsługa, zdecydowanie polecam. Zawsze przynoszę też tutaj wszelkie urwane  łańcuszki i bransoletki - szybka, konkretna naprawa. Dziękuję i polecam! :)","Obsługa na najwyższym poziomie - Pani Agata potrafiła dopasować biżuterię takiej jakiej właśnie potrzebowaliśmy. Cierpliwa, potrafi słuchać i wesoła. Na pewno wrócę do Wittoń. Polecam!","W tym pięknym właśnie miejscu uprzejmy Pan uratował mi mój nowy pierścionek zaręczynowy, ponieważ konkurencja zupełnie się nie zna na pomniejszaniu i zepsuła mi go, ale na szczęście dzięki Panu z Ukrainy który wziął od razu pierścionek do naprawy i zajęło mu to może 20min oddał mi w stanie jak fabrycznie nowy. Jestem bardzo mu wdzięczna i teraz mogę już nosić i cieszyć się, bo gdyby nie Jubiler to dalej mój pierścionek leżałby w pudełku. Pani która doradza klientom jest konkretną i ciepłą osobą, fachowa obsługa. Napewno tam wrócę i polecam wszystkim ten zakład Jubilerski. ❤️🙂☺️","Dawno temu wykonali dla mnie komplet pięknych obrączek ślubnych wg moich wytycznych i bez żadnego niedasieniowania. Niedawno mi je odświeżali i naprawiali pierścionek żony. Pełny profesjonalizm, sympatyczna obsługa, zdecydowanie polecam.",,"jewelry_store, store, point_of_interest, establishment",,51.9406747,15.504179
Apart,"68 410 72 12","Wrocławska 17, 65-427 Zielona Góra, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: Zamknięte",https://www.apart.pl/,"Bardzo mila obsługa, panie zawsze pomocne, wracam do tego salonu z miłą chęcią 🙂",,,,,,"jewelry_store, point_of_interest, store, establishment",,51.935837,15.5116487
"Adamczak Jacek. Jubilerstwo","68 454 93 64","Żołnierzy 2 Armii 40, 65-936 Zielona Góra, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–13:00, niedziela: Zamknięte",https://www.facebook.com/Pracownia-z%C5%82otnicza-Jacek-Adamczak-204969346194699/,"Bardzo sympatyczny Pan :) byłam tylko wyprostować pierścionek - Pan zrobił szybko, od ręki i tanio, chociaż z dwóch innych miejsc mnie odesłano. Polecam!","Zdecydowanie polecam! Kupowałem już pierścionek zaręczynowy, obrączki i wiele innych dodatkowych usług. Za każdym razem byłem bardzo zadowolony 😊","Super sprzedawca.Miły kontakt oraz profesjonalna obsługa. Wysoka jakość oferowanych produktów Polecam ten Zakład Jubilerski","Bardzo miły Pan poprawił łańcuszek po innym złotniku. Polecam gorąco.","Pan Jacek mistrz w swoim fachu. Wykonał dla nas obrączki według naszego projektu. Czas oczekiwania był taki jak się umawialiśmy. Wszystko jak należy. Polecam każdemu.",,"jewelry_store, store, point_of_interest, establishment",,51.9345896,15.4867723
"Jubiler Koszalin Chaton","500 728 999","Mariańska 27, 75-075 Koszalin, Polska","poniedziałek: 09:00–17:00, wtorek: 09:00–17:00, środa: 09:00–17:00, czwartek: 09:00–17:00, piątek: 09:00–17:00, sobota: 10:00–14:00, niedziela: Zamknięte",https://byleo.pl/,"Kupiłam piękną bransoletkę i nie tylko 😉. Miła obsługa. Bardzo cierpliwa dla niezdecydowanych klientów. Duży wybór i możliwość personalizowania zamówienia.","Jeśli kupować bardzo dobrej jakości biżuterię to tylko w Chaton Koszalin. Miałam przyjemność być obsługiwana w salonie na ulicy Mariańskiej. Pani przemiłe potrafią profesjonalnie doradzić. Polecam","Profesjonalizm. Przemiła obsługa. Panie zajęły sie moją sprawą bardzo profesjonalnie, mimo że była to błacha rzecz. Rzetelnie doradziły, za co jestem mega wdzięczny. Polecam to miejsce w 1000%","Najlepiekniejsza bizuteria w miescie. Cudowna obsluga slużąca profesjonalnym doradztwem. Towar najwyższej jakosci. Polecam!",,,"jewelry_store, store, point_of_interest, establishment",,54.1876064,16.1780401
YES,"94 345 32 30","Paderewskiego 1, 75-736 Koszalin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 10:00–20:00",https://yes.pl/,"Przepiękna biżuteria oraz przemiła, profesjonalna i wysokiej jakości obsługa. Na pewno pojawię się tam nie raz. Polecam serdecznie.","Doświadczona obsługa. Bardzo miłe konsultantki. Polecam serdecznie","Mila, pomocna obsługa sklepu. Nie ocenia człowieka po wyglądzie jak konkurencyjne sklepy ... Bardzo polecam","Bardzo miła i pomocna obsługa pań. Pomogły dobrać prezent idealnie w postaci naszyjnika. Polecam :)","Wszystko super. Bardzo miła obsługa :)",,"jewelry_store, store, point_of_interest, establishment",,54.1774861,16.2021984
YES,"94 343 31 25","Jana Pawła II 20, 75-452 Koszalin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 10:00–20:00",https://yes.pl/,"Polecam z całego serca, obsługa na najwyższym poziomie, panie bardzo miłe, cierpliwe, zawsze służą pomocą. Z chęcią co jakiś czas wracam na zakupy 🥰 Dziękuję i pozdrawiam ☺️","Bardzo dobra obsługa i podejście do klienta. Profesjonalne doradztwo. Obie Panie poświęciły mi dużo czasu podczas zakupów. Zdecydowanie należy im się super opinia !!!","Bardzo miła obsługa,Pani Weronika zawsze wita klienta z uśmiechem na twarzy,doradzi jak trzeba sprowadzi towar z drugiego punktu. Polecam.","Polecam. Bardzo miła obsługa. Panie wiedzą po co tam są i doskonale potrafią trafić w potrzeby klienta. Zapewne wrócę :)",,,"jewelry_store, store, point_of_interest, establishment",,54.206663,16.1854
"Jubiler Antracyt","534 516 611","Dworcowa 7, 75-201 Koszalin, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://www.jubilerantracyt.pl/,"Szukasz prezentu? Planujesz zakup dla Siebie? Koniecznie zajrzyj! To nic nie kosztuje a moze cos wpadnie w oko... Ceny bardzo przyzwoite.","Bardzo mocno polecam. Każdy coś dla siebie znajdzie. Jest dużo niepowtarzalnych wzorów dla osób lubiących się wyróżniać. Wybór ogólnie ogromny. No i obsługa przemiła😊","Zrobiłam super zakup miła obsługa z pozdrowieniami ❤️❤️❤️","Najlepszy jubiler w mieście. Polecam!",,,"jewelry_store, point_of_interest, store, establishment",,54.190405,16.1737965
Claire's,"94 342 58 59","Unit 0/41 Forum, Paderewskiego 1, 75-736 Koszalin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: Zamknięte",https://stores.claires.com/pl/pl-zp/koszalin/4209.html,"Bardzo duży asortyment, jest w czym wybierać. Pani Julia zawsze uśmiechnięta i chętnie służy pomocą. Na pewno jeszcze wrócę w to miejsce ! 😊😊","To nasza pierwsza i z pewnością nieostatnia wizyta u Pani Julii, świetne podejście i rzetelne informacje zarówno dla starszych jak i małych, rozhisteryzowanych dziewczynek chcących koniecznie kolczyki 😃 Z całego serca polecam","Super opieka świetna obsługa mega profesjonalizm i super flow :) polecam !!","Dziś byłam w Claire's  z córką kolejny raz.W tym sklepie jest przemiła obsługa z świetnym podejściem do dzieci.Panie służą dobra radą,mają gust i są przebojowe.Będę tam wracać tam głównie dla cudownej Pani w długich ciemnych włosach!","Profesjonalna obsługa i podejście do klienta. Pani Julia zawsze wita z uśmiechem na twarzy! Przekłuwanie uszu poszło szybko i sprawnie. Gorąco polecam!",,"jewelry_store, store, point_of_interest, establishment",2,54.1771972,16.2019516
"Skup złota jubiler Koszalin Mariańska naprawa biżuterii","536 011 572","Mariańska 27, 75-075 Koszalin, Polska","poniedziałek: 09:00–17:00, wtorek: 09:00–17:00, środa: 09:00–17:00, czwartek: 09:00–17:00, piątek: 09:00–17:00, sobota: 10:00–14:00, niedziela: Zamknięte",https://byleo.pl/lancuszki-zlote,,,,,,,"jewelry_store, store, point_of_interest, establishment",,54.1875868,16.1780625
"Koszaliński Skup Złota & Lombard & Kantor","504 938 141","Drzymały 1, 75-950 Koszalin, Polska","poniedziałek: 08:00–17:00, wtorek: 08:00–17:00, środa: 08:00–17:00, czwartek: 08:00–17:00, piątek: 08:00–17:00, sobota: 09:00–14:00, niedziela: Zamknięte",https://koszalin-lombard.pl/,"Bardzo miła obsługa i profesjonalne podejście do klienta.POLECAM jak najbardziej🙂","Profesjonalna obsługa i podejście do klienta, atrakcyjne ceny polecam serdecznie!!!","Miła obsługa, świetne ceny. Wszystko jest tak jak powinno być. Pełny profesjonalizm.","Polecam najlepsze ceny,miła i super obsługa pełna profesja100%","Atrajcyjne ceny, fachowa obsługa i elastyczne podejście do klienta. Polecam.",,"jewelry_store, finance, store, point_of_interest, establishment",,54.1877855,16.1786615
YES,"62 741 37 38","Górnośląska 82, 62-800 Kalisz, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 10:00–20:00",https://yes.pl/,"Profesjonalne doradztwo- pomoc w doborze modelu, odpowiedniego rozmiaru biżuterii i rzetelna obsługa. Polecam 😊","Bardzo miła obsługa oraz szybka pomoc z reklamacją. Serdecznie polecam","Polecam , miła i fachowa  pomoc przy doborze biżuterii, bogaty asortyment :)","przemiła obsługa, profesjonalne podejście do klienta 🥰","Super salon, duży asortyment i obsługa na wysokim poziomie . Polecam",,"jewelry_store, point_of_interest, store, establishment",,51.7447047,18.0702052
"EMI. Salony jubilerskie","62 598 42 54","Śródmiejska 33, 62-800 Kalisz, Polska","poniedziałek: 09:00–18:00, wtorek: 09:00–18:00, środa: 09:00–18:00, czwartek: 09:00–18:00, piątek: 09:00–14:00, sobota: Zamknięte, niedziela: Zamknięte",http://www.jubiler-emi.kalisz.pl/,,,,,,,"jewelry_store, point_of_interest, store, establishment",,51.7598585,18.0854221
"Zakład Jubilersko-Zegarmistrzowski Adam Marciniak","62 757 59 75","Franciszkańska 1, 62-800 Kalisz, Polska","poniedziałek: 09:00–17:00, wtorek: 09:00–17:00, środa: 09:00–17:00, czwartek: 09:00–17:00, piątek: 09:00–17:00, sobota: 09:30–13:00, niedziela: Zamknięte",,,,,,,,"jewelry_store, store, point_of_interest, establishment",,51.7615515,18.0887409
"EMI. Salony jubilerskie","62 753 27 04","Górnośląska 34, 62-800 Kalisz, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://www.jubiler-emi.kalisz.pl/,"Duży wybór, przystępne ceny, miła obsługa. Biżuteria na prezent pakowana w dekoracyjne pudełeczko i torebkę. Jestem bardzo zadowolona i polecam :)","Fachowa obsługa pomoc  w  wyborze ekspedientka bardzo  miła  atmosfera  sprzyja  by klient czuł  się wazny nie zbywany z poważaniem",,,,,"jewelry_store, store, point_of_interest, establishment",,51.754028,18.0797208
W.KRUK,"690 488 899","Najświętszej Marii Panny 9, 59-220 Legnica, Polska","poniedziałek: 09:30–21:00, wtorek: 09:30–21:00, środa: 09:30–21:00, czwartek: 09:30–21:00, piątek: 09:30–21:00, sobota: 09:30–21:00, niedziela: 10:00–20:00",https://wkruk.pl/salon-legnica,"Obsługa konkretna. Każdy znajdzie tu coś dla siebie. Polecam :)","Przesympatyczna,profesjonalna  obsługa klienta .. Bardzo polecam .","Panie ekspedientki bardzo miłe i pomocne. Bardzo polecam!","Bardzo miła i konkretna obsługa",,,"jewelry_store, finance, point_of_interest, store, establishment",,51.209486,16.1643389
"Jubiler SET","795 142 356","Rynek 20, 59-220 Legnica, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://www.bizuteria.legnica.pl,"Duży wybór biżuterii, fachowe doradztwo i miła obsługa. Polecam!","Zakupiłem tutaj naszyjnik. Pani bardzo pomocna, zna się na rzeczy potrafi dobrze doradzić. Polecam","Super obsługa szczególnie pani czarnulka  jest super zna się na rzeczy potrafi podpowiedzieć co kupić.","Przesympatyczna obsługa ! Serdecznie polecam 👍👍",,,"jewelry_store, finance, point_of_interest, store, establishment",,51.207694,16.1613343
"Jubiler RAJ Legnica - Lewińska Jolanta.","76 862 18 01","Witelona 14, 59-220 Legnica, Polska","poniedziałek: 09:00–17:00, wtorek: 09:00–17:00, środa: 09:00–17:00, czwartek: 09:00–17:00, piątek: 09:00–17:00, sobota: 09:00–13:00, niedziela: Zamknięte",http://jubilerlegnica.pl/,"Powiększałem obrączkę. Po objechaniu całego miasta trafiłem tutaj. Czysto, pachnąco, uprzejmie i profesjonalnie. Polecam szczerze:)","Odwiedziłem dzisiaj tego jubilera w poszukiwaniu srebrnego łańcuszka, i właśnie tutaj znalazłem splot Garibaldi, w dobrej cenie.","Naprawiałam w tym punkcie biżuterię. Polecam.","Polecam z całego serca ❤❤❤",,,"jewelry_store, finance, store, food, point_of_interest, establishment",,51.209322,16.167485
"R.A.J - Złoto, Srebro, Legnica","76 862 18 01","Witelona 14, 59-220 Legnica, Polska","poniedziałek: 09:00–17:00, wtorek: 09:00–17:00, środa: 09:00–17:00, czwartek: 09:00–17:00, piątek: 09:00–17:00, sobota: 09:00–13:00, niedziela: Zamknięte",http://skupzlotalegnica.pl/,"Szukaliśmy obrączek ślubnych i zdecydowanie polecamy RAJ Jubiler, maja szeroki wybór obrączek i szybki czas realizacji zamówienia. Biżuteria przepiękna, świetna jakość! Cudowne podejście do klienta, jak najbardziej polecam ! Absolutny top profesjonalizmu. Najlepsze ceny, najlepszy wybór w Legnicy.","Ceny za nowe wyroby nie są wygórowane, obsługa miła i zawsze służy pomocą. Kilka razy dawałem biżuterię do naprawy i byłem zadowolony, choć czasem musiałem dłużej poczekać ale to ze względu na dużą liczbę klientów. Ceny za naprawę również moim zdaniem zadowalające. Polecam.","Ceny skupu złota W dniu dzisiejszym (tj. 05.02.2014 r.) obowiązują następujące ceny skupu złota za jeden gram: Próba 333 - 28.00 zł Próba 375 - 32.00 zł Próba 585 - 62.00 zł Próba 750 - 79.00 zł Próba 900 - 95.00 zł Próba 999 -105.00 zł",Iść,,,"jewelry_store, finance, store, point_of_interest, establishment",,51.209322,16.167485
W.KRUK,"661 980 651","Chełmińska 4, 86-300 Grudziądz, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 10:00–20:00",https://wkruk.pl/salon-grudzia-dz,"Bardzo szybka realizacja zamówienia z grawerem, pani w obsłudze niesamowicie miła! Z pewnością jeszcze wrócę i gorąco polecam :)","zakupy w tym punkcie to sama przyjemność, Panie bardzo miłe, zawsze doradzą :))","Serdecznie polecam ten salon. Panie pracujące przemiłe i uśmiechnięte zawsze doradzą w wyborze biżuterii.","Trafiłam do sklepu przypadkowo w poszukiwaniu prezentu urodzinowego, był to strzał w dziesiątkę, ekspedientka doradziła przy wyborze kompletu, który zdecydowanie trafił w gusta jubilatki. Bardzo dziękuję za pomoc i doskonałą obsługę. :)",,,"jewelry_store, finance, store, point_of_interest, establishment",,53.484379,18.7475625
"Złoto Srebro. Kozłowski K.","56 642 95 49","Mickiewicza 5, 86-302 Grudziądz, Polska","poniedziałek: 09:30–17:30, wtorek: 09:30–17:30, środa: 09:30–17:30, czwartek: 09:30–17:30, piątek: 09:30–17:30, sobota: 09:30–13:30, niedziela: Zamknięte",https://www.facebook.com/jubiler.grudziadz,"Bogata oferta głównie wyrobów ze złota i srebra w dużej rozpiętości cenowej a przy tym przemiła pełna profesionalizmu obsługa sklepu Zdecydowanie polecam ten sklep.","Bardzo miła obsługa i atmosfera.Duzy wybór złota i srebra Żona miała powiększana obrączkę usługa wykonana perfekcyjnie i bardzo szybko a oto nam chodziło Zawsze gdy będziemy kupować złoto lub srebro to tylko tu","Poprosiłem o wykonanie dużej srebrnej blachy będąc na szkoleniu ,kilka telefonów zdjęć i zamówienie złożone na odległość wykonane wzorowo🙂 Serdecznie polecam .","Kupowałem ostatnio pierścionek zaręczynowy. Przemiła Pani która potrafiła doradzić (nie naciągnąć) serdeczna i uśmiechnięta. Ceny w porównaniu z toruńskimi galeriami handlowymi o połowę niższe. Będę kupował już tylko u Państwa!",,,"jewelry_store, store, point_of_interest, establishment",,53.4917678,18.7500647
"KALICKI CRAFT - Piotr Kalicki","508 134 898","Długa 1A, 86-302 Grudziądz, Polska",,http://kalickicraft.pl/,"Bardzo dobry fachowiec! Polecam!",,,,,,"jewelry_store, store, point_of_interest, establishment",,53.492671,18.7495199
"JUBILER ZIELIŃSCY","795 655 683","Henryka Sienkiewicza 7, 86-300 Grudziądz, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://www.jubilerzielinscy.pl/,"Jubiler godny polecenia. Profesjonalna obsluga, w porownaniu do innych sklepow z bizuteria, gdzie Panie bez doswiadczenia proboja nam wcisnac towar za najwyzsza cene. Tutaj mamy doczynienia z prawdziwym koneserem! Szeroka gama wyposazenia, a to wszystko za rozsadna cene! O wiele lepiej niz w sieciowkach, gdzie przeplacamy za ten sam towar! Sprzedaz rowniez przez internet. Polecam!","Serdecznie polecam salon jubilerski Państwa Zielińskich. Od lat jestem zadowolonym klientem. Polecam również usługi jubilerskie - obrączki wykonane na indywidualne życzenie są przepiękne. Pełen profesjonalizm, a przy tym uczciwe ceny!","Wszedłem tam pierwszy raz ! I wiem ze nie trzeba galerii by być obsłużony profesjonalnie... Jeśli nie chcecie przepłacać odwiedź jubilera Zieliński przy  Orle !!!","Byłem w tym miejscu poraz pierwszy aby dokonać zakupu zegarka.Obsluga profesjonalna i sympatyczna.Jestem usatysfakcjonowany oby tak było zawsze.👍👍👍","Jubiler godny polecenia. Bardzo miła obsługa. Pani tam pracująca potrafi doradzić, jest uśmiechnięta i zna się na rzeczy. Serdecznie Polecan",,"jewelry_store, store, point_of_interest, establishment",,53.48982,18.7516626
"Jubiler Kokociński","600 004 027","Mickiewicza 5, 86-300 Grudziądz, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://www.jubilerkokocinski.pl/,"Jestem zachwycona obsługą i jakością! Od lat jestem stałą klientką. Cudowna współpraca i doradztwo w kwestii doboru prezentów. Wiem, nawet, że mój pierścionek zaręczynowy jest od Pana Fabiana. Oryginalne arcydzieło. Grawerowana bransoletka dla mojej chrześnicy od lat jest na jej ręku, a możliwość powiększania jej z racji wzrostu małej jest genialna. Poleciłam też Państwa Kokocińskich kilkoro znajomym, którzy zakupili obrączki ślubne mimo sporej odległości od sklepu. Pomysły dopasowania na odległość obrączek są mega! Od kilku dni noszę też nowe kolczyki i nie ma dnia bez komplementu ;) Polecam dalej! PS Nowy salon jest ekstra! Jasno, przyjemnie! Całość na medal!","Wspaniała,miła,profesjonalna obsługa!Właściciele zawsze uśmiechnięci!Jestem stałą klientką od lat.Bardzo duży wybór eleganckiej biżuterii.Każdy wyjdzie zadowolony.Pan Fabian ze złota robi cuda.Gorąco polecam.","Obrączki przecudnej urody - zaprojektowane i wykonane profesjonalnie. Realizacja w terminie. Miła obsługa. Złotnik/grawer pierwsza klasa! Polecam!","Duży wybór, świetna obsługa.","Gorąco polecam",,"jewelry_store, store, point_of_interest, establishment",,53.4918038,18.749939
"Jubiler M.J. Kaliccy","56 642 70 84","Chełmińska 4, 86-300 Grudziądz, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: Zamknięte",http://www.alfagrudziadz.com.pl/sklepy/jubiler-m-j-kaliccy/,"Wyjątkowy i niepowtarzalny asortyment. Bardzo dobre ceny, a dzięki przemiłym Paniom dokonany zakup;)","Świetni fachowcy! Jeden z lepszych jubilerów w mieście. Wspaniałe Panie obsługujące - uśmiechnięte i pomocne. 😄","Bardzo sympatyczna obsługa , szeroki wybór asortymentu . Gorąco polecam ! :)","Pięć gwiazdek za duży asortyment oraz bardzo sprawną i miłą obsługę! Potrzebowałem biżuterii na prezent, obsługa pomogła znaleźć odpowiedni łańcuszek i dodatki, wszystko wspaniale się uzupełnia i do tego w pięknym opakowaniu. Pięć minut spędzonych w sklepie, a prezent trafiony w 10! I do tego pozytywne zaskoczenie przy dokonywaniu płatności, cena zdecydowanie lepsza niż u konkurencji. Polecam!!!","Nasz ulubiony jubiler, duży wybór różnego rodzaju biżuterii, można zawsze znaleźć coś na prezent nawet dla najbardziej wymagającej osoby. Personel bardzo miły, zawsze potrafi coś doradzić. Ceny konkurencyjne, a jakość i wybór znacznie lepsze niż w sieciówkach.",,"jewelry_store, store, point_of_interest, establishment",,53.4853367,18.7470387
"Jubiler Kaliccy, Zakład grawersko - złotniczy","56 642 56 01","Długa 1A, 86-300 Grudziądz, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",https://jubiler-kaliccyzakad-grawersko-zotniczy.business.site/?utm_source=gmb&utm_medium=referral,"Super serwis, mila obsluga od lat korzystamy i zawsze zadowoleni, Piotrek jest super, zawsze pomocny i elastyczny, polecam szczerze. Marcin","Polecam pracownię, od lat jesteśmy całą rodziną stałymi klientami. W pracowni można wykonać biżuterię na zamówienie, dokonać naprawy, graweru na biżuterii. Pracownia posiada też uprawnienia do wyceny diamentów. Zawsze można liczyć na solidnie wykonaną usługę. W zakładzie zamawiałam np.swoje obrączki ślubne, z których jesteśmy z mężem bardzo zadowoleni :)","Jubiler na starówce, duży wybór różnego rodzaju ciekawej biżuterii, można zawsze znaleźć coś na prezent. Personel bardzo miły, zawsze potrafi coś doradzić. Ceny konkurencyjne. Można sprzedać złoto lub przerobić również wg swojego projektu lub zdjęcia. Można też skorzystać z możliwości wymiany swojego złota na nowy wyrób.  Polecam","Dziwi mnie fakt, że tak znany i profesjonalny polski sklep ma tak mało opinii! Tym bardziej, że mają wysoce zaawansowaną pracownię na miejscu i profesjonalnego złotnika - z tego co się orientuję jednego z najlepszych w województwie! Polecam!","Od lat zakład utrzymuje bardzo wysoką jakość. Cenię za fachową obsługę i pomoc w doborze biżuterii na każdą okazję. Serdecznie polecam!",,"jewelry_store, finance, point_of_interest, store, establishment",,53.4926709,18.7495199
